id,name,domain,category_vi,latitude,longitude,address,district,province,description,search_text
TH_00011,Phu Dong Hotel,Du lịch,khách sạn,19.8136779,105.7678162,"Đường Lý Thái Tông, Tân Sơn, Thanh Hóa, 40132",Thanh Hóa,Thanh Hóa,"Phu Dong Hotel là khách sạn tại Thanh Hóa, Thanh Hóa.",Phu Dong Hotel Du lịch khách sạn Thanh Hóa Thanh Hóa
TH_00012,Hac Trang Hotel,Du lịch,khách sạn,19.8231063,105.7773289,"167 Đường Thành Thái, Đông Thọ, Thanh Hóa, 40110",Thanh Hóa,Thanh Hóa,"Hac Trang Hotel là khách sạn tại Thanh Hóa, Thanh Hóa.",Hac Trang Hotel Du lịch khách sạn Thanh Hóa Thanh Hóa
TH_00013,Muong Thanh Thanh Hoa Hotel,Du lịch,khách sạn,19.7825471,105.7778439,"Đường Lương Hữu Khánh, Đông Vệ, Thanh Hóa, 40130",Thanh Hóa,Thanh Hóa,"Muong Thanh Thanh Hoa Hotel là khách sạn tại Thanh Hóa, Thanh Hóa.",Muong Thanh Thanh Hoa Hotel Du lịch khách sạn Thanh Hóa Thanh Hóa
TH_00014,Công Ty TNHH Thương Mại Và Du Lịch Ngân Hoa,Du lịch,khách sạn,19.7293139,105.8992085,"3 Đường Hồ Xuân Hương, Trường Sơn, Sầm Sơn, Thanh Hóa, 40206",Sầm Sơn,Thanh Hóa,"Công Ty TNHH Thương Mại Và Du Lịch Ngân Hoa là khách sạn tại Sầm Sơn, Thanh Hóa.",Công Ty TNHH Thương Mại Và Du Lịch Ngân Hoa Du lịch khách sạn Sầm Sơn Thanh Hóa
TH_00015,Khách Sạn Hoa Hồng 1,Du lịch,khách sạn,19.7332424,105.9002492,"Khách Sạn Hồ Gươm, 31 Đường Hồ Xuân Hương, Trường Sơn, Sầm Sơn, Thanh Hóa",Sầm Sơn,Thanh Hóa,"Khách Sạn Hoa Hồng 1 là khách sạn tại Sầm Sơn, Thanh Hóa.",Khách Sạn Hoa Hồng 1 Du lịch khách sạn Sầm Sơn Thanh Hóa
TH_00016,Doanh Nghiệp Tư Nhân Khách Sạn Và Du Lịch Hoàng Long,Du lịch,khách sạn,19.731263,105.8988759,"Đường Tô Hiến Thành, Trường Sơn, Sầm Sơn, Thanh Hóa, 40206",Sầm Sơn,Thanh Hóa,"Doanh Nghiệp Tư Nhân Khách Sạn Và Du Lịch Hoàng Long là khách sạn tại Sầm Sơn, Thanh Hóa.",Doanh Nghiệp Tư Nhân Khách Sạn Và Du Lịch Hoàng Long Du lịch khách sạn Sầm Sơn Thanh Hóa
TH_00017,Khách sạn Thuỳ Dương 3,Du lịch,khách sạn,19.7339695,105.9004316,"1 Đường Lê Hoàn, Trường Sơn, Sầm Sơn, Thanh Hóa, 40206",Sầm Sơn,Thanh Hóa,"Khách sạn Thuỳ Dương 3 là khách sạn tại Sầm Sơn, Thanh Hóa.",Khách sạn Thuỳ Dương 3 Du lịch khách sạn Sầm Sơn Thanh Hóa
TH_00018,Thai Lan Hotel,Du lịch,khách sạn,19.7360498,105.9000883,"Khách Sạn Sầm Sơn, 8 Đường Tây Sơn, Bắc Sơn, Sầm Sơn, Thanh Hóa",Sầm Sơn,Thanh Hóa,"Thai Lan Hotel là khách sạn tại Sầm Sơn, Thanh Hóa.",Thai Lan Hotel Du lịch khách sạn Sầm Sơn Thanh Hóa
TH_00019,Son Thuy Motel,Du lịch,khách sạn,19.7361912,105.8997128,"8 Đường Tây Sơn, Bắc Sơn, Sầm Sơn, Thanh Hóa",Sầm Sơn,Thanh Hóa,"Son Thuy Motel là khách sạn tại Sầm Sơn, Thanh Hóa.",Son Thuy Motel Du lịch khách sạn Sầm Sơn Thanh Hóa
TH_00020,Khách sạn Bắc Nam,Du lịch,khách sạn,19.7376959,105.8997235,"Nhà Nghỉ Thanh Bình, 39 Đường Thanh Niên, Bắc Sơn, Sầm Sơn, Thanh Hóa, 40207",Sầm Sơn,Thanh Hóa,"Khách sạn Bắc Nam là khách sạn tại Sầm Sơn, Thanh Hóa.",Khách sạn Bắc Nam Du lịch khách sạn Sầm Sơn Thanh Hóa
TH_00021,Huong Bien Hotel,Du lịch,khách sạn,19.7379887,105.9007427,"Đường Võ Thị Sáu, Bắc Sơn, Sầm Sơn, Thanh Hóa, 40207",Sầm Sơn,Thanh Hóa,"Huong Bien Hotel là khách sạn tại Sầm Sơn, Thanh Hóa.",Huong Bien Hotel Du lịch khách sạn Sầm Sơn Thanh Hóa
TH_00022,Cay Tre Guest House,Du lịch,nhà khách/homestay,19.7383927,105.8987686,"Khách Sạn Đường Sắt, 69 Đường Nguyễn Du, Bắc Sơn, Sầm Sơn, Thanh Hóa",Sầm Sơn,Thanh Hóa,"Cay Tre Guest House là nhà khách/homestay tại Sầm Sơn, Thanh Hóa.",Cay Tre Guest House Du lịch nhà khách/homestay Sầm Sơn Thanh Hóa
TH_00023,Hotel Mai Trang,Du lịch,khách sạn,19.7385038,105.902116,"Đường Nguyễn Văn Cừ, Bắc Sơn, Sầm Sơn, Thanh Hóa, 40207",Sầm Sơn,Thanh Hóa,"Hotel Mai Trang là khách sạn tại Sầm Sơn, Thanh Hóa.",Hotel Mai Trang Du lịch khách sạn Sầm Sơn Thanh Hóa
TH_00024,Dai Lam Hotel,Du lịch,khách sạn,19.6678404,105.4474235,"Yên Cát, Như Xuân, Thanh Hóa",Như Xuân,Thanh Hóa,"Dai Lam Hotel là khách sạn tại Như Xuân, Thanh Hóa.",Dai Lam Hotel Du lịch khách sạn Như Xuân Thanh Hóa
TH_00025,Thanh Coi Restaurant,Ẩm thực,nhà hàng,19.4549525,105.7845212,"Đường Quốc Lộ 1, Hải Hòa, Tĩnh Gia, Thanh Hóa, 42707",Tĩnh Gia,Thanh Hóa,"Thanh Coi Restaurant là nhà hàng tại Tĩnh Gia, Thanh Hóa.",Thanh Coi Restaurant Ẩm thực nhà hàng Tĩnh Gia Thanh Hóa
TH_00026,Thanh Còi Hotel,Du lịch,khách sạn,19.4550278,105.7850008,"Đường Quốc Lộ 1, Hải Hòa, Tĩnh Gia, Thanh Hóa, 42707",Tĩnh Gia,Thanh Hóa,"Thanh Còi Hotel là khách sạn tại Tĩnh Gia, Thanh Hóa.",Thanh Còi Hotel Du lịch khách sạn Tĩnh Gia Thanh Hóa
TH_00027,Puluong Retreat,Du lịch,khách sạn,20.445167,105.150184,"Thành Lâm, Bá Thước, Thanh Hóa",Bá Thước,Thanh Hóa,"Puluong Retreat là khách sạn tại Bá Thước, Thanh Hóa.",Puluong Retreat Du lịch khách sạn Bá Thước Thanh Hóa
TH_00028,Nhà hàng Vũ Bảo,Ẩm thực,nhà hàng,19.7862247,105.8046891,"Đường Quốc Lộ 1A, Quảng Hưng, Thanh Hóa, 40128",Thanh Hóa,Thanh Hóa,"Nhà hàng Vũ Bảo là nhà hàng tại Thanh Hóa, Thanh Hóa.",Nhà hàng Vũ Bảo Ẩm thực nhà hàng Thanh Hóa Thanh Hóa
TH_00029,Nhà Long,Du lịch,nhà khách/homestay,20.3614243,105.3808386,"Lương Nội, Bá Thước, Thanh Hóa",Bá Thước,Thanh Hóa,"Nhà Long là nhà khách/homestay tại Bá Thước, Thanh Hóa.",Nhà Long Du lịch nhà khách/homestay Bá Thước Thanh Hóa
TH_00030,Khách sạn Phú Cường,Du lịch,khách sạn,19.9196697,105.3938316,"Đường Hồ Chí Minh, Thọ Xương, Thọ Xuân, Thanh Hóa, 41630",Thọ Xuân,Thanh Hóa,"Khách sạn Phú Cường là khách sạn tại Thọ Xuân, Thanh Hóa.",Khách sạn Phú Cường Du lịch khách sạn Thọ Xuân Thanh Hóa
TH_00031,KM 88,Du lịch,khách sạn,20.2990496,104.6251947,"Chi Nhánh Thương Mại Quan Sơn Công Ty Cổ Phần Hải, Đường Quốc Lộ 217, Na Mèo, Quan Sơn, Thanh Hóa, 42017",Quan Sơn,Thanh Hóa,"KM 88 là khách sạn tại Quan Sơn, Thanh Hóa.",KM 88 Du lịch khách sạn Quan Sơn Thanh Hóa
TH_00032,Nha Nghi,Du lịch,nhà khách/homestay,19.7983317,105.776195,"Nhà Nghỉ Hùng Hoa, 4 Đường Tịch Điền, Ba Đình, Thanh Hóa, 40122",Thanh Hóa,Thanh Hóa,"Nha Nghi là nhà khách/homestay tại Thanh Hóa, Thanh Hóa.",Nha Nghi Du lịch nhà khách/homestay Thanh Hóa Thanh Hóa
TH_00033,Lâu - Hâi Sân,Ẩm thực,nhà hàng,20.2949868,105.170281,"Đường Quốc Lộ 15A, Thiết Kế, Bá Thước, Thanh Hóa, 41426",Bá Thước,Thanh Hóa,"Lâu - Hâi Sân là nhà hàng tại Bá Thước, Thanh Hóa.",Lâu - Hâi Sân Ẩm thực nhà hàng Bá Thước Thanh Hóa
TH_00034,Nhà Nghỉ Hưng Thịnh,Du lịch,nhà khách/homestay,19.7622914,105.7787834,"Quảng Thịnh, Thanh Hóa",Thanh Hóa,Thanh Hóa,"Nhà Nghỉ Hưng Thịnh là nhà khách/homestay tại Thanh Hóa, Thanh Hóa.",Nhà Nghỉ Hưng Thịnh Du lịch nhà khách/homestay Thanh Hóa Thanh Hóa
TH_00035,Nha kach Z111,Du lịch,khách sạn,19.8224832,105.7730972,"Đường Ỷ Lan, Đông Thọ, Thanh Hóa, 40110",Thanh Hóa,Thanh Hóa,"Nha kach Z111 là khách sạn tại Thanh Hóa, Thanh Hóa.",Nha kach Z111 Du lịch khách sạn Thanh Hóa Thanh Hóa
TH_00036,TamThuy's Home,Du lịch,khách sạn,19.7954792,105.7801057,"Đường Hồ Nguyên Trừng, Ngọc Trạo, Thanh Hóa, 40122",Thanh Hóa,Thanh Hóa,"TamThuy's Home là khách sạn tại Thanh Hóa, Thanh Hóa.",TamThuy's Home Du lịch khách sạn Thanh Hóa Thanh Hóa
TH_00037,Thực Đỏn,Ẩm thực,nhà hàng,19.8052723,105.7765483,"Đường Trần Phú, Lam Sơn, Thanh Hóa, 40123",Thanh Hóa,Thanh Hóa,"Thực Đỏn là nhà hàng tại Thanh Hóa, Thanh Hóa.",Thực Đỏn Ẩm thực nhà hàng Thanh Hóa Thanh Hóa
TH_00038,Hương Giang,Du lịch,nhà khách/homestay,19.442378,105.77618,"Đường Quốc Lộ 1, Hải Hòa, Tĩnh Gia, Thanh Hóa, 42734",Tĩnh Gia,Thanh Hóa,"Hương Giang là nhà khách/homestay tại Tĩnh Gia, Thanh Hóa.",Hương Giang Du lịch nhà khách/homestay Tĩnh Gia Thanh Hóa
TH_00039,Hoàng Thanh,Du lịch,khách sạn,19.4449778,105.7780096,"Đường Quốc Lộ 1, Hải Hòa, Tĩnh Gia, Thanh Hóa, 42734",Tĩnh Gia,Thanh Hóa,"Hoàng Thanh là khách sạn tại Tĩnh Gia, Thanh Hóa.",Hoàng Thanh Du lịch khách sạn Tĩnh Gia Thanh Hóa
TH_00040,Nhà hàng,Ẩm thực,quán thức ăn nhanh,19.4436395,105.7768223,"Đường Quốc Lộ 1, Hải Hòa, Tĩnh Gia, Thanh Hóa, 42734",Tĩnh Gia,Thanh Hóa,"Nhà hàng là quán thức ăn nhanh tại Tĩnh Gia, Thanh Hóa.",Nhà hàng Ẩm thực quán thức ăn nhanh Tĩnh Gia Thanh Hóa
TH_00041,Thăng Long Hotel,Du lịch,khách sạn,20.0851809,105.8574194,"In Phóng Ảnh Hoa Quý, Đường Nguyễn Trãi, Ngọc Trạo, Bỉm Sơn, Thanh Hóa, 40712",Bỉm Sơn,Thanh Hóa,"Thăng Long Hotel là khách sạn tại Bỉm Sơn, Thanh Hóa.",Thăng Long Hotel Du lịch khách sạn Bỉm Sơn Thanh Hóa
TH_00042,Nha nghi van xuan,Du lịch,nhà nghỉ,19.6245345,105.6433311,"Đường Lam Sơn, Vạn Hòa, Nông Cống, Thanh Hóa, 42312",Nông Cống,Thanh Hóa,"Nha nghi van xuan là nhà nghỉ tại Nông Cống, Thanh Hóa.",Nha nghi van xuan Du lịch nhà nghỉ Nông Cống Thanh Hóa
TH_00043,Suối cá Cẩm Lương,Du lịch,địa điểm du lịch,20.251958,105.390441,"Suối Cá Thần Cẩm Lương, Cẩm Lương, Cẩm Thủy, Thanh Hóa, 41311",Cẩm Thủy,Thanh Hóa,"Suối cá Cẩm Lương là địa điểm du lịch tại Cẩm Thủy, Thanh Hóa.",Suối cá Cẩm Lương Du lịch địa điểm du lịch Cẩm Thủy Thanh Hóa
TH_00044,Nah Nghi,Du lịch,nhà khách/homestay,20.2947798,105.1707921,"Đường Quốc Lộ 15A, Thiết Ống, Bá Thước, Thanh Hóa, 41425",Bá Thước,Thanh Hóa,"Nah Nghi là nhà khách/homestay tại Bá Thước, Thanh Hóa.",Nah Nghi Du lịch nhà khách/homestay Bá Thước Thanh Hóa
TH_00045,Quang Duc Homestay & Restaurant,Du lịch,nhà khách/homestay,20.3331873,105.5185392,"Đường Hồ Chí Minh, Thạch Lâm, Thạch Thành, Thanh Hóa, 41216",Thạch Thành,Thanh Hóa,"Quang Duc Homestay & Restaurant là nhà khách/homestay tại Thạch Thành, Thanh Hóa.",Quang Duc Homestay & Restaurant Du lịch nhà khách/homestay Thạch Thành Thanh Hóa
TH_00046,Park,Du lịch,địa điểm du lịch,19.8095476,105.7820253,"Công Viên, Đường Đại Lộ Lê Lợi, Lam Sơn, Thanh Hóa",Thanh Hóa,Thanh Hóa,"Park là địa điểm du lịch tại Thanh Hóa, Thanh Hóa.",Park Du lịch địa điểm du lịch Thanh Hóa Thanh Hóa
TH_00047,Golden Hotel,Du lịch,khách sạn,19.4559066,105.7842315,"Đường Quốc Lộ 1, Hải Hòa, Tĩnh Gia, Thanh Hóa, 42707",Tĩnh Gia,Thanh Hóa,"Golden Hotel là khách sạn tại Tĩnh Gia, Thanh Hóa.",Golden Hotel Du lịch khách sạn Tĩnh Gia Thanh Hóa
TH_00048,Central Hotel,Du lịch,khách sạn,19.8065046,105.8038299,"Đường Quốc Lộ 1A, Đông Hải, Thanh Hóa, 40125",Thanh Hóa,Thanh Hóa,"Central Hotel là khách sạn tại Thanh Hóa, Thanh Hóa.",Central Hotel Du lịch khách sạn Thanh Hóa Thanh Hóa
TH_00049,Nhà Niên ( Family),Du lịch,nhà khách/homestay,19.8637128,105.7493143,"Thiệu Vân, Thanh Hóa",Thanh Hóa,Thanh Hóa,"Nhà Niên ( Family) là nhà khách/homestay tại Thanh Hóa, Thanh Hóa.",Nhà Niên ( Family) Du lịch nhà khách/homestay Thanh Hóa Thanh Hóa
TH_00050,Nhà hàng Xuân Trường,Ẩm thực,nhà hàng,19.7919427,105.3994487,"Đường Hồ Chí Minh, Luận Thành, Thường Xuân, Thanh Hóa, 42220",Thường Xuân,Thanh Hóa,"Nhà hàng Xuân Trường là nhà hàng tại Thường Xuân, Thanh Hóa.",Nhà hàng Xuân Trường Ẩm thực nhà hàng Thường Xuân Thanh Hóa
TH_00051,Nhà Hàng Biển Nhớ,Ẩm thực,nhà hàng,19.3354237,105.8208808,"Nghi Sơn, Tĩnh Gia, Thanh Hóa",Tĩnh Gia,Thanh Hóa,"Nhà Hàng Biển Nhớ là nhà hàng tại Tĩnh Gia, Thanh Hóa.",Nhà Hàng Biển Nhớ Ẩm thực nhà hàng Tĩnh Gia Thanh Hóa
TH_00052,Thiên Đường Xứ Thanh,Du lịch,khách sạn,19.8668305,105.9447972,"Hoằng Trường, Hoằng Hóa, Thanh Hóa",Hoằng Hóa,Thanh Hóa,"Thiên Đường Xứ Thanh là khách sạn tại Hoằng Hóa, Thanh Hóa.",Thiên Đường Xứ Thanh Du lịch khách sạn Hoằng Hóa Thanh Hóa
TH_00053,Nhá Nghỉ Đức Sơn,Du lịch,nhà khách/homestay,20.0875326,105.3773643,"Phố Lê Lai, Ngọc Lặc, Thanh Hóa, 41706",Ngọc Lặc,Thanh Hóa,"Nhá Nghỉ Đức Sơn là nhà khách/homestay tại Ngọc Lặc, Thanh Hóa.",Nhá Nghỉ Đức Sơn Du lịch nhà khách/homestay Ngọc Lặc Thanh Hóa
TH_00054,Khu bảo tồn thiên nhiên Pù Luông,Du lịch,địa điểm du lịch,20.466527,105.172682,"Lũng Niêm, Bá Thước, Thanh Hóa",Bá Thước,Thanh Hóa,"Khu bảo tồn thiên nhiên Pù Luông là địa điểm du lịch tại Bá Thước, Thanh Hóa.",Khu bảo tồn thiên nhiên Pù Luông Du lịch địa điểm du lịch Bá Thước Thanh Hóa
TH_00055,Quan an thanh sau,Ẩm thực,nhà hàng,19.564003,105.7981872,"Đường Quốc Lộ 1, Hải Ninh, Tĩnh Gia, Thanh Hóa, 42715",Tĩnh Gia,Thanh Hóa,"Quan an thanh sau là nhà hàng tại Tĩnh Gia, Thanh Hóa.",Quan an thanh sau Ẩm thực nhà hàng Tĩnh Gia Thanh Hóa
TH_00056,Cau Luong Dong,Du lịch,địa điểm du lịch,19.6319876,105.4118914,"Đường Hồ Chí Minh, Hóa Quỳ, Như Xuân, Thanh Hóa, 42511",Như Xuân,Thanh Hóa,"Cau Luong Dong là địa điểm du lịch tại Như Xuân, Thanh Hóa.",Cau Luong Dong Du lịch địa điểm du lịch Như Xuân Thanh Hóa
TH_00057,Hoang Minh,Ẩm thực,quán cà phê,19.8493965,105.8312887,"Đường Quốc Lộ 1A, Hoằng Đức, Hoằng Hóa, Thanh Hóa, 40336",Hoằng Hóa,Thanh Hóa,"Hoang Minh là quán cà phê tại Hoằng Hóa, Thanh Hóa.",Hoang Minh Ẩm thực quán cà phê Hoằng Hóa Thanh Hóa
TH_00058,Nha hang hong phuong Cam thuy,Ẩm thực,nhà hàng,20.2133923,105.4844452,"Đường Quốc Lộ 217, Phong Sơn, Cẩm Phong, Cẩm Thủy, Thanh Hóa, 41307",Cẩm Thủy,Thanh Hóa,"Nha hang hong phuong Cam thuy là nhà hàng tại Cẩm Thủy, Thanh Hóa.",Nha hang hong phuong Cam thuy Ẩm thực nhà hàng Cẩm Thủy Thanh Hóa
TH_00059,Hoai puluong Homestay,Du lịch,nhà khách/homestay,20.4630286,105.2084517,"Cổ Lũng, Bá Thước, Thanh Hóa",Bá Thước,Thanh Hóa,"Hoai puluong Homestay là nhà khách/homestay tại Bá Thước, Thanh Hóa.",Hoai puluong Homestay Du lịch nhà khách/homestay Bá Thước Thanh Hóa
TH_00060,Duy Hoa Hotel,Du lịch,nhà khách/homestay,20.2995644,104.6288265,"Đường Quốc Lộ 217, Na Mèo, Quan Sơn, Thanh Hóa, 42017",Quan Sơn,Thanh Hóa,"Duy Hoa Hotel là nhà khách/homestay tại Quan Sơn, Thanh Hóa.",Duy Hoa Hotel Du lịch nhà khách/homestay Quan Sơn Thanh Hóa
TH_00061,37 lợi linh thanh hoá,Ẩm thực,nhà hàng,19.8837496,105.806973,"Đường Quốc Lộ 1A, Hoằng Phú, Hoằng Hóa, Thanh Hóa, 40331",Hoằng Hóa,Thanh Hóa,"37 lợi linh thanh hoá là nhà hàng tại Hoằng Hóa, Thanh Hóa.",37 lợi linh thanh hoá Ẩm thực nhà hàng Hoằng Hóa Thanh Hóa
TH_00062,256 tống duy tân Bánh cuốn ngon,Ẩm thực,quán thức ăn nhanh,19.8045154,105.7772131,"Quán Ăn Mạnh Hùng, 256 Đường Tống Duy Tân, Lam Sơn, Thanh Hóa",Thanh Hóa,Thanh Hóa,"256 tống duy tân Bánh cuốn ngon là quán thức ăn nhanh tại Thanh Hóa, Thanh Hóa.",256 tống duy tân Bánh cuốn ngon Ẩm thực quán thức ăn nhanh Thanh Hóa Thanh Hóa
TH_00063,KS Mientay,Du lịch,khách sạn,20.2580097,104.9462621,"Sơn Lư, Quan Sơn, Thanh Hóa",Quan Sơn,Thanh Hóa,"KS Mientay là khách sạn tại Quan Sơn, Thanh Hóa.",KS Mientay Du lịch khách sạn Quan Sơn Thanh Hóa
TH_00064,Vincom Thanh Hoá,Du lịch,trung tâm thương mại,19.8095591,105.7778969,"Đường Triệu Quốc Đạt, Điện Biên, Thanh Hóa, 40120",Thanh Hóa,Thanh Hóa,"Vincom Thanh Hoá là trung tâm thương mại tại Thanh Hóa, Thanh Hóa.",Vincom Thanh Hoá Du lịch trung tâm thương mại Thanh Hóa Thanh Hóa
TH_00065,Nhà Nghì,Du lịch,nhà khách/homestay,19.6668672,105.4367058,"Cửa Hàng Lợi Hưng, Yên Cát, Như Xuân, Thanh Hóa, 42506",Như Xuân,Thanh Hóa,"Nhà Nghì là nhà khách/homestay tại Như Xuân, Thanh Hóa.",Nhà Nghì Du lịch nhà khách/homestay Như Xuân Thanh Hóa
TH_00066,Pu Luong Eco,Du lịch,khách sạn,20.4685172,105.1202672,"Thành Sơn, Bá Thước, Thanh Hóa",Bá Thước,Thanh Hóa,"Pu Luong Eco là khách sạn tại Bá Thước, Thanh Hóa.",Pu Luong Eco Du lịch khách sạn Bá Thước Thanh Hóa
TH_00067,Cam Do,Ẩm thực,quán cà phê,19.7086458,105.784122,"Đường Quốc Lộ 1, Quảng Ninh, Quảng Xương, Thanh Hóa, 42617",Quảng Xương,Thanh Hóa,"Cam Do là quán cà phê tại Quảng Xương, Thanh Hóa.",Cam Do Ẩm thực quán cà phê Quảng Xương Thanh Hóa
TH_00068,Exhibition Centre,Du lịch,địa điểm du lịch,19.8010532,105.8006982,"Đông Hải, Thanh Hóa",Thanh Hóa,Thanh Hóa,"Exhibition Centre là địa điểm du lịch tại Thanh Hóa, Thanh Hóa.",Exhibition Centre Du lịch địa điểm du lịch Thanh Hóa Thanh Hóa
TH_00069,Nha Ngoai,Du lịch,nhà khách/homestay,20.1520873,105.6371642,"Thạch Bình, Thạch Thành, Thanh Hóa",Thạch Thành,Thanh Hóa,"Nha Ngoai là nhà khách/homestay tại Thạch Thành, Thanh Hóa.",Nha Ngoai Du lịch nhà khách/homestay Thạch Thành Thanh Hóa
TH_00070,Nuong Yen,Du lịch,khách sạn,19.4924501,105.6353987,"Tỉnh Lộ 505, Yên Mỹ, Nông Cống, Thanh Hóa, 42337",Nông Cống,Thanh Hóa,"Nuong Yen là khách sạn tại Nông Cống, Thanh Hóa.",Nuong Yen Du lịch khách sạn Nông Cống Thanh Hóa
TH_00071,Lach Nam,Du lịch,khách sạn,19.7388502,105.9029124,"Nhà Ăn Trung Tâm Điều Dưỡng Ban Cơ Yếu Chính Phủ, 53 Đường Hồ Xuân Hương, Bắc Sơn, Sầm Sơn, Thanh Hóa, 40207",Sầm Sơn,Thanh Hóa,"Lach Nam là khách sạn tại Sầm Sơn, Thanh Hóa.",Lach Nam Du lịch khách sạn Sầm Sơn Thanh Hóa
TH_00072,nha nghi kim dong,Du lịch,nhà khách/homestay,20.2900247,105.1914072,"Đường Quốc Lộ 217, Thiết Ống, Bá Thước, Thanh Hóa, 41425",Bá Thước,Thanh Hóa,"nha nghi kim dong là nhà khách/homestay tại Bá Thước, Thanh Hóa.",nha nghi kim dong Du lịch nhà khách/homestay Bá Thước Thanh Hóa
TH_00073,Time Square Cafe,Ẩm thực,quán cà phê,19.8129504,105.7729368,"Công Ty Trách Nhiệm Hữu Hạn Tổ Chức Sự Kiện Và Quảng Cáo Thanh Hóa - Café Index, 20 Đường Hạc Thành, Điện Biên, Thanh Hóa, 40120",Thanh Hóa,Thanh Hóa,"Time Square Cafe là quán cà phê tại Thanh Hóa, Thanh Hóa.",Time Square Cafe Ẩm thực quán cà phê Thanh Hóa Thanh Hóa
TH_00074,Cafe Sen (8th floor),Ẩm thực,quán cà phê,19.811808,105.7728896,"Trường Học, Đường Hạc Thành, Điện Biên, Thanh Hóa",Thanh Hóa,Thanh Hóa,"Cafe Sen (8th floor) là quán cà phê tại Thanh Hóa, Thanh Hóa.",Cafe Sen (8th floor) Ẩm thực quán cà phê Thanh Hóa Thanh Hóa
