id,name,base_food,city,region,category,price_vnd,description
FOOD00016,Cơm chiên Sài Gòn,Cơm chiên,Sài Gòn,Nam,Món cuốn,104214,"Cơm chiên là món ăn phổ biến tại Sài Gòn, thuộc ẩm thực miền Nam."
FOOD00017,Bún cá Sài Gòn,Bún cá,Sài Gòn,Nam,Món khô,60785,"Bún cá là món ăn phổ biến tại Sài Gòn, thuộc ẩm thực miền Nam."
FOOD00018,Hủ tiếu Nha Trang,Hủ tiếu,Nha Trang,Trung,Món cuốn,83089,"Hủ tiếu là món ăn phổ biến tại Nha Trang, thuộc ẩm thực miền Trung."
FOOD00019,Hủ tiếu Hà Nội,Hủ tiếu,Hà Nội,Bắc,Món nước,101548,"Hủ tiếu là món ăn phổ biến tại Hà Nội, thuộc ẩm thực miền Bắc."
FOOD00020,Bún thịt nướng Hải Phòng,Bún thịt nướng,Hải Phòng,Bắc,Món khô,49785,"Bún thịt nướng là món ăn phổ biến tại Hải Phòng, thuộc ẩm thực miền Bắc."
FOOD00021,Bún thịt nướng Nha Trang,Bún thịt nướng,Nha Trang,Trung,Món chiên,77863,"Bún thịt nướng là món ăn phổ biến tại Nha Trang, thuộc ẩm thực miền Trung."
FOOD00022,Phở bò Huế,Phở bò,Huế,Trung,Món nước,44779,"Phở bò là món ăn phổ biến tại Huế, thuộc ẩm thực miền Trung."
FOOD00023,Bánh cuốn Cần Thơ,Bánh cuốn,Cần Thơ,Nam,Món nước,86350,"Bánh cuốn là món ăn phổ biến tại Cần Thơ, thuộc ẩm thực miền Nam."
FOOD00024,Cơm gà Cần Thơ,Cơm gà,Cần Thơ,Nam,Món cuốn,64141,"Cơm gà là món ăn phổ biến tại Cần Thơ, thuộc ẩm thực miền Nam."
FOOD00025,Bánh bèo Nha Trang,Bánh bèo,Nha Trang,Trung,Món khô,23420,"Bánh bèo là món ăn phổ biến tại Nha Trang, thuộc ẩm thực miền Trung."
FOOD00026,Bánh bèo Đà Nẵng,Bánh bèo,Đà Nẵng,Trung,Món cuốn,29494,"Bánh bèo là món ăn phổ biến tại Đà Nẵng, thuộc ẩm thực miền Trung."
FOOD00027,Bánh bèo Đà Nẵng,Bánh bèo,Đà Nẵng,Trung,Món nước,48439,"Bánh bèo là món ăn phổ biến tại Đà Nẵng, thuộc ẩm thực miền Trung."
FOOD00028,Mì Quảng Huế,Mì Quảng,Huế,Trung,Món chiên,67466,"Mì Quảng là món ăn phổ biến tại Huế, thuộc ẩm thực miền Trung."
FOOD00029,Bánh mì Cần Thơ,Bánh mì,Cần Thơ,Nam,Món cuốn,113907,"Bánh mì là món ăn phổ biến tại Cần Thơ, thuộc ẩm thực miền Nam."
FOOD00030,Cơm tấm Hà Nội,Cơm tấm,Hà Nội,Bắc,Món nước,84170,"Cơm tấm là món ăn phổ biến tại Hà Nội, thuộc ẩm thực miền Bắc."
FOOD00031,Bún cá Sài Gòn,Bún cá,Sài Gòn,Nam,Món chiên,98718,"Bún cá là món ăn phổ biến tại Sài Gòn, thuộc ẩm thực miền Nam."
FOOD00032,Bánh nậm Huế,Bánh nậm,Huế,Trung,Món cuốn,61660,"Bánh nậm là món ăn phổ biến tại Huế, thuộc ẩm thực miền Trung."
FOOD00033,Cơm tấm Cần Thơ,Cơm tấm,Cần Thơ,Nam,Món nước,103339,"Cơm tấm là món ăn phổ biến tại Cần Thơ, thuộc ẩm thực miền Nam."
FOOD00034,Bún bò Huế Hải Phòng,Bún bò Huế,Hải Phòng,Bắc,Món cuốn,66888,"Bún bò Huế là món ăn phổ biến tại Hải Phòng, thuộc ẩm thực miền Bắc."
FOOD00035,Cao lầu Nha Trang,Cao lầu,Nha Trang,Trung,Món nướng,34625,"Cao lầu là món ăn phổ biến tại Nha Trang, thuộc ẩm thực miền Trung."
FOOD00036,Cơm tấm Cần Thơ,Cơm tấm,Cần Thơ,Nam,Món cuốn,117124,"Cơm tấm là món ăn phổ biến tại Cần Thơ, thuộc ẩm thực miền Nam."
FOOD00037,Bún đậu mắm tôm Hà Nội,Bún đậu mắm tôm,Hà Nội,Bắc,Món nước,49374,"Bún đậu mắm tôm là món ăn phổ biến tại Hà Nội, thuộc ẩm thực miền Bắc."
FOOD00038,Miến gà Huế,Miến gà,Huế,Trung,Món chiên,116127,"Miến gà là món ăn phổ biến tại Huế, thuộc ẩm thực miền Trung."
FOOD00039,Cháo lòng Hà Nội,Cháo lòng,Hà Nội,Bắc,Món nướng,20595,"Cháo lòng là món ăn phổ biến tại Hà Nội, thuộc ẩm thực miền Bắc."
FOOD00040,Bánh xèo Cần Thơ,Bánh xèo,Cần Thơ,Nam,Món cuốn,61851,"Bánh xèo là món ăn phổ biến tại Cần Thơ, thuộc ẩm thực miền Nam."
FOOD00041,Cao lầu Đà Nẵng,Cao lầu,Đà Nẵng,Trung,Lẩu,48871,"Cao lầu là món ăn phổ biến tại Đà Nẵng, thuộc ẩm thực miền Trung."
FOOD00042,Lẩu bò Đà Nẵng,Lẩu bò,Đà Nẵng,Trung,Món nướng,108833,"Lẩu bò là món ăn phổ biến tại Đà Nẵng, thuộc ẩm thực miền Trung."
FOOD00043,Bánh nậm Đà Nẵng,Bánh nậm,Đà Nẵng,Trung,Món nướng,16008,"Bánh nậm là món ăn phổ biến tại Đà Nẵng, thuộc ẩm thực miền Trung."
FOOD00044,Bánh ít Cần Thơ,Bánh ít,Cần Thơ,Nam,Lẩu,74380,"Bánh ít là món ăn phổ biến tại Cần Thơ, thuộc ẩm thực miền Nam."
FOOD00045,Bánh mì Hà Nội,Bánh mì,Hà Nội,Bắc,Lẩu,57425,"Bánh mì là món ăn phổ biến tại Hà Nội, thuộc ẩm thực miền Bắc."
FOOD00046,Lẩu bò Nha Trang,Lẩu bò,Nha Trang,Trung,Món cuốn,48289,"Lẩu bò là món ăn phổ biến tại Nha Trang, thuộc ẩm thực miền Trung."
FOOD00047,Mì Quảng Đà Nẵng,Mì Quảng,Đà Nẵng,Trung,Món cuốn,101676,"Mì Quảng là món ăn phổ biến tại Đà Nẵng, thuộc ẩm thực miền Trung."
FOOD00048,Chả giò Nha Trang,Chả giò,Nha Trang,Trung,Món nước,66773,"Chả giò là món ăn phổ biến tại Nha Trang, thuộc ẩm thực miền Trung."
FOOD00049,Lẩu thái Hà Nội,Lẩu thái,Hà Nội,Bắc,Món nướng,68917,"Lẩu thái là món ăn phổ biến tại Hà Nội, thuộc ẩm thực miền Bắc."
FOOD00050,Cháo lòng Cần Thơ,Cháo lòng,Cần Thơ,Nam,Món cuốn,85365,"Cháo lòng là món ăn phổ biến tại Cần Thơ, thuộc ẩm thực miền Nam."
FOOD00051,Phở bò Đà Nẵng,Phở bò,Đà Nẵng,Trung,Món cuốn,102168,"Phở bò là món ăn phổ biến tại Đà Nẵng, thuộc ẩm thực miền Trung."
FOOD00052,Cao lầu Cần Thơ,Cao lầu,Cần Thơ,Nam,Món nướng,89839,"Cao lầu là món ăn phổ biến tại Cần Thơ, thuộc ẩm thực miền Nam."
FOOD00053,Hủ tiếu Hà Nội,Hủ tiếu,Hà Nội,Bắc,Món nướng,79639,"Hủ tiếu là món ăn phổ biến tại Hà Nội, thuộc ẩm thực miền Bắc."
FOOD00054,Cháo gà Huế,Cháo gà,Huế,Trung,Món chiên,90860,"Cháo gà là món ăn phổ biến tại Huế, thuộc ẩm thực miền Trung."
FOOD00055,Chả giò Hải Phòng,Chả giò,Hải Phòng,Bắc,Lẩu,35744,"Chả giò là món ăn phổ biến tại Hải Phòng, thuộc ẩm thực miền Bắc."
FOOD00056,Bún đậu mắm tôm Sài Gòn,Bún đậu mắm tôm,Sài Gòn,Nam,Món khô,99597,"Bún đậu mắm tôm là món ăn phổ biến tại Sài Gòn, thuộc ẩm thực miền Nam."
FOOD00057,Cơm tấm Sài Gòn,Cơm tấm,Sài Gòn,Nam,Món nước,31201,"Cơm tấm là món ăn phổ biến tại Sài Gòn, thuộc ẩm thực miền Nam."
FOOD00058,Bún thịt nướng Nha Trang,Bún thịt nướng,Nha Trang,Trung,Lẩu,59953,"Bún thịt nướng là món ăn phổ biến tại Nha Trang, thuộc ẩm thực miền Trung."
FOOD00059,Phở gà Đà Nẵng,Phở gà,Đà Nẵng,Trung,Món nước,41140,"Phở gà là món ăn phổ biến tại Đà Nẵng, thuộc ẩm thực miền Trung."
FOOD00060,Bún bò Huế Nha Trang,Bún bò Huế,Nha Trang,Trung,Món chiên,80531,"Bún bò Huế là món ăn phổ biến tại Nha Trang, thuộc ẩm thực miền Trung."
FOOD00061,Cao lầu Sài Gòn,Cao lầu,Sài Gòn,Nam,Món nướng,116245,"Cao lầu là món ăn phổ biến tại Sài Gòn, thuộc ẩm thực miền Nam."
FOOD00062,Bánh nậm Cần Thơ,Bánh nậm,Cần Thơ,Nam,Món khô,34818,"Bánh nậm là món ăn phổ biến tại Cần Thơ, thuộc ẩm thực miền Nam."
FOOD00063,Bánh bèo Sài Gòn,Bánh bèo,Sài Gòn,Nam,Món nướng,105582,"Bánh bèo là món ăn phổ biến tại Sài Gòn, thuộc ẩm thực miền Nam."
FOOD00064,Cơm chiên Huế,Cơm chiên,Huế,Trung,Món khô,89470,"Cơm chiên là món ăn phổ biến tại Huế, thuộc ẩm thực miền Trung."
FOOD00065,Bún bò Huế Nha Trang,Bún bò Huế,Nha Trang,Trung,Lẩu,19450,"Bún bò Huế là món ăn phổ biến tại Nha Trang, thuộc ẩm thực miền Trung."
FOOD00066,Lẩu thái Hải Phòng,Lẩu thái,Hải Phòng,Bắc,Lẩu,27717,"Lẩu thái là món ăn phổ biến tại Hải Phòng, thuộc ẩm thực miền Bắc."
FOOD00067,Bánh cuốn Hải Phòng,Bánh cuốn,Hải Phòng,Bắc,Món nước,100317,"Bánh cuốn là món ăn phổ biến tại Hải Phòng, thuộc ẩm thực miền Bắc."
FOOD00068,Cháo lòng Nha Trang,Cháo lòng,Nha Trang,Trung,Món khô,87956,"Cháo lòng là món ăn phổ biến tại Nha Trang, thuộc ẩm thực miền Trung."
FOOD00069,Bánh nậm Cần Thơ,Bánh nậm,Cần Thơ,Nam,Món khô,43310,"Bánh nậm là món ăn phổ biến tại Cần Thơ, thuộc ẩm thực miền Nam."
FOOD00070,Bánh mì Hải Phòng,Bánh mì,Hải Phòng,Bắc,Món nướng,81599,"Bánh mì là món ăn phổ biến tại Hải Phòng, thuộc ẩm thực miền Bắc."
FOOD00071,Bánh bèo Hà Nội,Bánh bèo,Hà Nội,Bắc,Món cuốn,48787,"Bánh bèo là món ăn phổ biến tại Hà Nội, thuộc ẩm thực miền Bắc."
FOOD00072,Bún mắm Cần Thơ,Bún mắm,Cần Thơ,Nam,Món nước,116935,"Bún mắm là món ăn phổ biến tại Cần Thơ, thuộc ẩm thực miền Nam."
FOOD00073,Bánh bèo Sài Gòn,Bánh bèo,Sài Gòn,Nam,Lẩu,72993,"Bánh bèo là món ăn phổ biến tại Sài Gòn, thuộc ẩm thực miền Nam."
FOOD00074,Cao lầu Cần Thơ,Cao lầu,Cần Thơ,Nam,Món chiên,58131,"Cao lầu là món ăn phổ biến tại Cần Thơ, thuộc ẩm thực miền Nam."
FOOD00075,Cơm tấm Đà Nẵng,Cơm tấm,Đà Nẵng,Trung,Lẩu,54770,"Cơm tấm là món ăn phổ biến tại Đà Nẵng, thuộc ẩm thực miền Trung."
FOOD00076,Bún mắm Đà Nẵng,Bún mắm,Đà Nẵng,Trung,Món chiên,87304,"Bún mắm là món ăn phổ biến tại Đà Nẵng, thuộc ẩm thực miền Trung."
FOOD00077,Gỏi cuốn Hà Nội,Gỏi cuốn,Hà Nội,Bắc,Món chiên,87363,"Gỏi cuốn là món ăn phổ biến tại Hà Nội, thuộc ẩm thực miền Bắc."
FOOD00078,Mì Quảng Cần Thơ,Mì Quảng,Cần Thơ,Nam,Món cuốn,84334,"Mì Quảng là món ăn phổ biến tại Cần Thơ, thuộc ẩm thực miền Nam."
FOOD00079,Bánh xèo Huế,Bánh xèo,Huế,Trung,Món nước,86853,"Bánh xèo là món ăn phổ biến tại Huế, thuộc ẩm thực miền Trung."
FOOD00080,Bún chả Hải Phòng,Bún chả,Hải Phòng,Bắc,Món cuốn,37611,"Bún chả là món ăn phổ biến tại Hải Phòng, thuộc ẩm thực miền Bắc."
FOOD00081,Bánh cuốn Hà Nội,Bánh cuốn,Hà Nội,Bắc,Món chiên,20415,"Bánh cuốn là món ăn phổ biến tại Hà Nội, thuộc ẩm thực miền Bắc."
FOOD00082,Cơm tấm Sài Gòn,Cơm tấm,Sài Gòn,Nam,Lẩu,45525,"Cơm tấm là món ăn phổ biến tại Sài Gòn, thuộc ẩm thực miền Nam."
FOOD00083,Cơm tấm Sài Gòn,Cơm tấm,Sài Gòn,Nam,Món nước,69558,"Cơm tấm là món ăn phổ biến tại Sài Gòn, thuộc ẩm thực miền Nam."
FOOD00084,Bún riêu Nha Trang,Bún riêu,Nha Trang,Trung,Lẩu,57584,"Bún riêu là món ăn phổ biến tại Nha Trang, thuộc ẩm thực miền Trung."
FOOD00085,Mì Quảng Cần Thơ,Mì Quảng,Cần Thơ,Nam,Món nước,39174,"Mì Quảng là món ăn phổ biến tại Cần Thơ, thuộc ẩm thực miền Nam."
FOOD00086,Mì Quảng Huế,Mì Quảng,Huế,Trung,Món nước,91758,"Mì Quảng là món ăn phổ biến tại Huế, thuộc ẩm thực miền Trung."
FOOD00087,Lẩu hải sản Đà Nẵng,Lẩu hải sản,Đà Nẵng,Trung,Món khô,100693,"Lẩu hải sản là món ăn phổ biến tại Đà Nẵng, thuộc ẩm thực miền Trung."
FOOD00088,Bún chả Sài Gòn,Bún chả,Sài Gòn,Nam,Lẩu,81091,"Bún chả là món ăn phổ biến tại Sài Gòn, thuộc ẩm thực miền Nam."
FOOD00089,Lẩu thái Hải Phòng,Lẩu thái,Hải Phòng,Bắc,Món nước,58678,"Lẩu thái là món ăn phổ biến tại Hải Phòng, thuộc ẩm thực miền Bắc."
FOOD00090,Bún đậu mắm tôm Cần Thơ,Bún đậu mắm tôm,Cần Thơ,Nam,Món chiên,41265,"Bún đậu mắm tôm là món ăn phổ biến tại Cần Thơ, thuộc ẩm thực miền Nam."
FOOD00091,Bún bò Huế Nha Trang,Bún bò Huế,Nha Trang,Trung,Lẩu,21938,"Bún bò Huế là món ăn phổ biến tại Nha Trang, thuộc ẩm thực miền Trung."
FOOD00092,Miến gà Nha Trang,Miến gà,Nha Trang,Trung,Món cuốn,58713,"Miến gà là món ăn phổ biến tại Nha Trang, thuộc ẩm thực miền Trung."
FOOD00093,Bánh mì Nha Trang,Bánh mì,Nha Trang,Trung,Món nước,118788,"Bánh mì là món ăn phổ biến tại Nha Trang, thuộc ẩm thực miền Trung."
FOOD00094,Bánh nậm Hải Phòng,Bánh nậm,Hải Phòng,Bắc,Lẩu,44262,"Bánh nậm là món ăn phổ biến tại Hải Phòng, thuộc ẩm thực miền Bắc."
FOOD00095,Bánh canh Hải Phòng,Bánh canh,Hải Phòng,Bắc,Món chiên,114252,"Bánh canh là món ăn phổ biến tại Hải Phòng, thuộc ẩm thực miền Bắc."
FOOD00096,Bún mắm Hà Nội,Bún mắm,Hà Nội,Bắc,Món nướng,76279,"Bún mắm là món ăn phổ biến tại Hà Nội, thuộc ẩm thực miền Bắc."
FOOD00097,Bánh cuốn Cần Thơ,Bánh cuốn,Cần Thơ,Nam,Món nướng,43910,"Bánh cuốn là món ăn phổ biến tại Cần Thơ, thuộc ẩm thực miền Nam."
FOOD00098,Cháo lòng Đà Nẵng,Cháo lòng,Đà Nẵng,Trung,Món nướng,96138,"Cháo lòng là món ăn phổ biến tại Đà Nẵng, thuộc ẩm thực miền Trung."
FOOD00099,Bún bò Huế Cần Thơ,Bún bò Huế,Cần Thơ,Nam,Món nướng,107301,"Bún bò Huế là món ăn phổ biến tại Cần Thơ, thuộc ẩm thực miền Nam."
FOOD00100,Bún bò Huế Nha Trang,Bún bò Huế,Nha Trang,Trung,Món khô,27784,"Bún bò Huế là món ăn phổ biến tại Nha Trang, thuộc ẩm thực miền Trung."
FOOD00101,Phở bò Hải Phòng,Phở bò,Hải Phòng,Bắc,Món cuốn,73292,"Phở bò là món ăn phổ biến tại Hải Phòng, thuộc ẩm thực miền Bắc."
FOOD00102,Lẩu hải sản Nha Trang,Lẩu hải sản,Nha Trang,Trung,Món nướng,55040,"Lẩu hải sản là món ăn phổ biến tại Nha Trang, thuộc ẩm thực miền Trung."
FOOD00103,Lẩu thái Đà Nẵng,Lẩu thái,Đà Nẵng,Trung,Món nước,94690,"Lẩu thái là món ăn phổ biến tại Đà Nẵng, thuộc ẩm thực miền Trung."
FOOD00104,Miến gà Hải Phòng,Miến gà,Hải Phòng,Bắc,Lẩu,58501,"Miến gà là món ăn phổ biến tại Hải Phòng, thuộc ẩm thực miền Bắc."
FOOD00105,Cháo lòng Huế,Cháo lòng,Huế,Trung,Món nước,114800,"Cháo lòng là món ăn phổ biến tại Huế, thuộc ẩm thực miền Trung."
FOOD00106,Bún mắm Hà Nội,Bún mắm,Hà Nội,Bắc,Món chiên,31839,"Bún mắm là món ăn phổ biến tại Hà Nội, thuộc ẩm thực miền Bắc."
FOOD00107,Bún chả Sài Gòn,Bún chả,Sài Gòn,Nam,Món nướng,18510,"Bún chả là món ăn phổ biến tại Sài Gòn, thuộc ẩm thực miền Nam."
FOOD00108,Phở bò Hà Nội,Phở bò,Hà Nội,Bắc,Món khô,65979,"Phở bò là món ăn phổ biến tại Hà Nội, thuộc ẩm thực miền Bắc."
FOOD00109,Bánh cuốn Nha Trang,Bánh cuốn,Nha Trang,Trung,Món cuốn,56245,"Bánh cuốn là món ăn phổ biến tại Nha Trang, thuộc ẩm thực miền Trung."
FOOD00110,Cao lầu Huế,Cao lầu,Huế,Trung,Món nướng,87173,"Cao lầu là món ăn phổ biến tại Huế, thuộc ẩm thực miền Trung."
FOOD00111,Lẩu hải sản Đà Nẵng,Lẩu hải sản,Đà Nẵng,Trung,Món khô,50660,"Lẩu hải sản là món ăn phổ biến tại Đà Nẵng, thuộc ẩm thực miền Trung."
FOOD00112,Cơm gà Sài Gòn,Cơm gà,Sài Gòn,Nam,Món khô,104593,"Cơm gà là món ăn phổ biến tại Sài Gòn, thuộc ẩm thực miền Nam."
FOOD00113,Phở bò Nha Trang,Phở bò,Nha Trang,Trung,Món nước,107261,"Phở bò là món ăn phổ biến tại Nha Trang, thuộc ẩm thực miền Trung."
FOOD00114,Bánh nậm Đà Nẵng,Bánh nậm,Đà Nẵng,Trung,Lẩu,111066,"Bánh nậm là món ăn phổ biến tại Đà Nẵng, thuộc ẩm thực miền Trung."
FOOD00115,Bún riêu Nha Trang,Bún riêu,Nha Trang,Trung,Món cuốn,47776,"Bún riêu là món ăn phổ biến tại Nha Trang, thuộc ẩm thực miền Trung."
FOOD00116,Chả giò Sài Gòn,Chả giò,Sài Gòn,Nam,Món nướng,81099,"Chả giò là món ăn phổ biến tại Sài Gòn, thuộc ẩm thực miền Nam."
FOOD00117,Gỏi cuốn Hải Phòng,Gỏi cuốn,Hải Phòng,Bắc,Món khô,60227,"Gỏi cuốn là món ăn phổ biến tại Hải Phòng, thuộc ẩm thực miền Bắc."
FOOD00118,Mì Quảng Sài Gòn,Mì Quảng,Sài Gòn,Nam,Lẩu,83046,"Mì Quảng là món ăn phổ biến tại Sài Gòn, thuộc ẩm thực miền Nam."
FOOD00119,Cơm gà Đà Nẵng,Cơm gà,Đà Nẵng,Trung,Lẩu,16485,"Cơm gà là món ăn phổ biến tại Đà Nẵng, thuộc ẩm thực miền Trung."
FOOD00120,Phở gà Hải Phòng,Phở gà,Hải Phòng,Bắc,Món chiên,74342,"Phở gà là món ăn phổ biến tại Hải Phòng, thuộc ẩm thực miền Bắc."
FOOD00121,Lẩu hải sản Nha Trang,Lẩu hải sản,Nha Trang,Trung,Món cuốn,36249,"Lẩu hải sản là món ăn phổ biến tại Nha Trang, thuộc ẩm thực miền Trung."
FOOD00122,Bún đậu mắm tôm Huế,Bún đậu mắm tôm,Huế,Trung,Món chiên,109034,"Bún đậu mắm tôm là món ăn phổ biến tại Huế, thuộc ẩm thực miền Trung."
FOOD00123,Cơm gà Đà Nẵng,Cơm gà,Đà Nẵng,Trung,Món cuốn,35583,"Cơm gà là món ăn phổ biến tại Đà Nẵng, thuộc ẩm thực miền Trung."
FOOD00124,Mì Quảng Sài Gòn,Mì Quảng,Sài Gòn,Nam,Món chiên,33521,"Mì Quảng là món ăn phổ biến tại Sài Gòn, thuộc ẩm thực miền Nam."
FOOD00125,Cháo lòng Huế,Cháo lòng,Huế,Trung,Món khô,98409,"Cháo lòng là món ăn phổ biến tại Huế, thuộc ẩm thực miền Trung."
FOOD00126,Phở gà Huế,Phở gà,Huế,Trung,Lẩu,40689,"Phở gà là món ăn phổ biến tại Huế, thuộc ẩm thực miền Trung."
FOOD00127,Bánh ít Sài Gòn,Bánh ít,Sài Gòn,Nam,Món nước,69572,"Bánh ít là món ăn phổ biến tại Sài Gòn, thuộc ẩm thực miền Nam."
FOOD00128,Bún chả Nha Trang,Bún chả,Nha Trang,Trung,Món nước,49555,"Bún chả là món ăn phổ biến tại Nha Trang, thuộc ẩm thực miền Trung."
FOOD00129,Bún chả Sài Gòn,Bún chả,Sài Gòn,Nam,Lẩu,92988,"Bún chả là món ăn phổ biến tại Sài Gòn, thuộc ẩm thực miền Nam."
FOOD00130,Bún chả Huế,Bún chả,Huế,Trung,Món cuốn,86093,"Bún chả là món ăn phổ biến tại Huế, thuộc ẩm thực miền Trung."
FOOD00131,Bánh nậm Hải Phòng,Bánh nậm,Hải Phòng,Bắc,Món khô,117372,"Bánh nậm là món ăn phổ biến tại Hải Phòng, thuộc ẩm thực miền Bắc."
FOOD00132,Bánh canh Nha Trang,Bánh canh,Nha Trang,Trung,Món nước,57723,"Bánh canh là món ăn phổ biến tại Nha Trang, thuộc ẩm thực miền Trung."
FOOD00133,Cơm chiên Sài Gòn,Cơm chiên,Sài Gòn,Nam,Món khô,45520,"Cơm chiên là món ăn phổ biến tại Sài Gòn, thuộc ẩm thực miền Nam."
FOOD00134,Bánh bèo Hà Nội,Bánh bèo,Hà Nội,Bắc,Món khô,93028,"Bánh bèo là món ăn phổ biến tại Hà Nội, thuộc ẩm thực miền Bắc."
FOOD00135,Bánh mì Sài Gòn,Bánh mì,Sài Gòn,Nam,Lẩu,22644,"Bánh mì là món ăn phổ biến tại Sài Gòn, thuộc ẩm thực miền Nam."
FOOD00136,Hủ tiếu Cần Thơ,Hủ tiếu,Cần Thơ,Nam,Món nước,80139,"Hủ tiếu là món ăn phổ biến tại Cần Thơ, thuộc ẩm thực miền Nam."
FOOD00137,Bánh xèo Đà Nẵng,Bánh xèo,Đà Nẵng,Trung,Món cuốn,65144,"Bánh xèo là món ăn phổ biến tại Đà Nẵng, thuộc ẩm thực miền Trung."
FOOD00138,Lẩu hải sản Huế,Lẩu hải sản,Huế,Trung,Món nước,68107,"Lẩu hải sản là món ăn phổ biến tại Huế, thuộc ẩm thực miền Trung."
FOOD00139,Phở gà Cần Thơ,Phở gà,Cần Thơ,Nam,Món chiên,65679,"Phở gà là món ăn phổ biến tại Cần Thơ, thuộc ẩm thực miền Nam."
FOOD00140,Lẩu thái Đà Nẵng,Lẩu thái,Đà Nẵng,Trung,Món nước,21920,"Lẩu thái là món ăn phổ biến tại Đà Nẵng, thuộc ẩm thực miền Trung."
FOOD00141,Cơm gà Hải Phòng,Cơm gà,Hải Phòng,Bắc,Lẩu,85858,"Cơm gà là món ăn phổ biến tại Hải Phòng, thuộc ẩm thực miền Bắc."
FOOD00142,Bún riêu Hà Nội,Bún riêu,Hà Nội,Bắc,Món khô,104239,"Bún riêu là món ăn phổ biến tại Hà Nội, thuộc ẩm thực miền Bắc."
FOOD00143,Bánh nậm Nha Trang,Bánh nậm,Nha Trang,Trung,Món nước,103524,"Bánh nậm là món ăn phổ biến tại Nha Trang, thuộc ẩm thực miền Trung."
FOOD00144,Cháo lòng Sài Gòn,Cháo lòng,Sài Gòn,Nam,Lẩu,109278,"Cháo lòng là món ăn phổ biến tại Sài Gòn, thuộc ẩm thực miền Nam."
FOOD00145,Bún cá Đà Nẵng,Bún cá,Đà Nẵng,Trung,Món chiên,91985,"Bún cá là món ăn phổ biến tại Đà Nẵng, thuộc ẩm thực miền Trung."
FOOD00146,Bánh xèo Đà Nẵng,Bánh xèo,Đà Nẵng,Trung,Món chiên,96659,"Bánh xèo là món ăn phổ biến tại Đà Nẵng, thuộc ẩm thực miền Trung."
FOOD00147,Bánh mì Nha Trang,Bánh mì,Nha Trang,Trung,Món nước,22848,"Bánh mì là món ăn phổ biến tại Nha Trang, thuộc ẩm thực miền Trung."
FOOD00148,Bún thịt nướng Sài Gòn,Bún thịt nướng,Sài Gòn,Nam,Lẩu,117389,"Bún thịt nướng là món ăn phổ biến tại Sài Gòn, thuộc ẩm thực miền Nam."
