id,food_name,description,category,region,type,source,popularity,price_range
FOOD00020,Cơm gà,"Cơm gà là món ăn được chế biến và trình bày với hình thức cơm và thịt gà. Cơm có thể dùng là cơm trắng hoặc cơm chiên, cơm rang và thịt gà được trình bày thông thường là đùi gà hay cánh gà. Món cơm gà tương đối dễ làm và phổ biến. Nhưng tùy theo từng quốc gia và tập tục địa phương mà có những phương cách thực hiện khác nhau.",Món ăn Việt Nam,Việt Nam,Món cơm/xôi,vietnam_food_extended,38,25-50k
FOOD00021,Gỏi cuốn,"Gỏi cuốn hay còn được gọi là Nem cuốn (Phương ngữ miền Bắc), là một món ăn khá phổ biến ở Việt Nam.[1] Gỏi cuốn có xuất xứ từ Miền nam Việt Nam với tên gọi là gỏi cuốn - bằng các nguyên liệu gồm rau xà lách, húng quế, tía tô, tôm khô, rau thơm, thịt luộc, tôm tươi.. tất cả được cuộn trong vỏ bánh tráng. Gia vị dùng kèm là tương hột trộn với lạc rang giã nhỏ phi bằng dầu ăn với hành khô.... tất cả thái nhỏ và cuộn trong vỏ làm từ bột mì hoặc là tương ớt trộn với lạc rang giã nhỏ phi bằng dầu ăn v...",Món ăn Việt Nam,Việt Nam,Gỏi/Nộm,vietnam_food_extended,2,200k+
FOOD00022,Gỏi đu đủ Thái,"Gỏi đu đủ Thái có tên là Som tam hoặc som tum, phiên âm tiếng Việt là xổm tam [1](ส้มตำ hoặc ส้มตำ), tên trong tiếng Isan là tam bak hung (ตำบักหุ่ง- tam bàk hùŋ) là một loại gỏi cay với nguyên liệu chính là đu đủ xanh bào sợi. Som tam tương tự như món gỏi tam mak hung của Lào và gỏi bok l'hong của Campuchia. Món gỏi đu đủ Thái được Google tôn vinh trên trang chính ngày 14/12/2021.[2]
Món gỏi này cũng được bán trong khu tự trị Tây Song Bản Nạp ở Trung Quốc.",Món ăn Việt Nam,Việt Nam,Gỏi/Nộm,vietnam_food_extended,64,50-100k
FOOD00023,Nộm hoa chuối,"Nộm hoa chuối hay gỏi bắp chuối là một món ăn của người Việt Nam.[1][2] Món ăn này được gọi là nộm hoa chuối ở miền Bắc Việt Nam, còn tại miền Nam được gọi là gỏi bắp chuối.",Món ăn Việt Nam,Việt Nam,Gỏi/Nộm,vietnam_food_extended,60,50-100k
FOOD00024,Hủ tiếu,"Hủ tiếu (bắt nguồn từ tiếng Triều Châu ""粿條"" guê2diou5,[1] âm Hán Việt: quả điều), còn được viết là hủ tíu (trong phương ngữ tiếng Việt miền Nam tiếu đồng âm với tíu), là món ăn dùng chế phẩm gạo dạng sợi của người Triều Châu và người Mân Nam, có nhiều điểm tương tự như sa hà phấn của người Quảng Đông và bản điều của người Khách Gia, được truyền nhập tới nhiều vùng ở trong và ngoài nước Trung Quốc, trở thành món ăn thường gặp ở vùng Hoa Nam Trung Quốc và khu vực Đông Nam Á như ở miền Nam Việt Nam...",Món ăn Việt Nam,Việt Nam,Món nước,vietnam_food_extended,21,25-50k
FOOD00025,Mì Quảng,"Mì Quảng (tức là Mì của xứ Quảng) là một món ăn có nguồn gốc xuất xứ và cũng là đặc sản của Quảng Nam (nay thuộc thành phố Đà Nẵng), Việt Nam.",Món ăn Việt Nam,Việt Nam,Món nước,vietnam_food_extended,33,10-25k
FOOD00026,Cao lầu,"Cao lầu là một món mì ở Quảng Nam, Việt Nam. Đây được xem là món ăn đặc sản của thành phố Hội An. Món mì này có sợi mì màu vàng, được dùng với tôm, thịt xíu (xá xíu), các loại rau sống và rất ít nước dùng. Sợi mì màu vàng là do bột được hòa chung với tro từ một loại cây ở địa phương.",Món ăn Việt Nam,Việt Nam,Khác,vietnam_food_extended,76,200k+
FOOD00027,Hủ tiếu Nam Vang,"Hủ tiếu Nam Vang là món hủ tiếu do người Khmer chế biến, có nguồn gốc từ Nam Vang (là tên phiên âm của Phnôm Pênh). Hủ tiếu Nam Vang có tên gọi trong tiếng Khmer là ""kuay tiev"", nguyên liệu chính là hủ tiếu dai (có người gọi là hủ tiếu bột lọc), nước dùng chính là thịt bằm nhỏ, lòng heo nấu cùng. Món ăn này được du nhập vào Việt Nam và trở nên phổ biến thay vì hủ tiếu chỉ với xương thịt truyền thống. Tùy theo khẩu vị của từng người, có thể thay thế lòng heo bằng tôm, cua, cá, mực, vv...",Món ăn Việt Nam,Việt Nam,Món nước,vietnam_food_extended,58,10-25k
FOOD00028,Chả cá Lã Vọng,"Chả cá Lã Vọng là tên của món chả cá đặc sản Hà Nội. Đây là món chả làm từ cá (thường là cá lăng) thái miếng đem tẩm ướp, nướng trên than củi rồi rán lại trong chảo mỡ, do gia đình họ Đoàn tại số nhà 14 phố Chả Cá (trước đây là phố Hàng Sơn) trong khu phố cổ giữ bí quyết kinh doanh từ năm 1871 và đặt tên cho nó như trên.[1]",Món ăn Việt Nam,Việt Nam,Khác,vietnam_food_extended,22,100-200k
FOOD00029,Nem chua,"Nem chua (phương ngữ Bắc Bộ) hay nem (phương ngữ Trung Bộ và phương ngữ Nam Bộ) là một món ăn sử dụng thịt lợn, lợi dụng men của lá chuối (hoặc lá ổi, lá vông, lá sung v.v.) và thính gạo để ủ chín, có vị chua ngậy. Nổi tiếng ở Việt Nam như một sản vật phổ biến tại nhiều địa phương, tuy không rõ nem chua được người dân vùng nào làm ra đầu tiên. Cách chế biến nem có thể chia thành hai kiểu: Nem Miền Bắc có thể chế biến ăn sống cùng các loại lá đặc biệt; còn Nem Miền Trung (đặc biệt Thanh Hoá và Hu...",Món ăn Việt Nam,Việt Nam,Khác,vietnam_food_extended,89,100-200k
FOOD00030,Bánh gối,"Bánh gối Bắc Bộ hay bánh xếp ở Nam Bộ (ở Trung Bộ gọi là bánh quai vạc chiên) là một loại bánh xuất xứ từ Hải Phòng, khi ăn bánh vẫn còn giòn tan như cái giòn của vỏ bánh và giàu hương vị. Theo các nhà ẩm thực thì bánh gối xuất hiện tại Hải Phòng và Hà Nội trước năm 1948, nghĩa là bánh gối xuất hiện như một món ăn vặt cùng thời điểm với những bánh chín tầng mây, quẩy, há cảo,...",Món ăn Việt Nam,Việt Nam,Bánh,vietnam_food_extended,49,25-50k
FOOD00031,Xôi,"Xôi là một món ăn thông dụng được làm từ nguyên liệu chính là gạo nếp, đồ/hấp chín bằng hơi nước, thịnh hành trong ẩm thực của nhiều nước châu Á.",Món ăn Việt Nam,Việt Nam,Món cơm/xôi,vietnam_food_extended,91,25-50k
FOOD00032,Bánh bèo,"Bánh bèo là một món bánh xuất thân từ Cố Đô Huế rất thịnh hành ở miền Trung, ngoài ra cũng phổ biến ở miền Nam Việt Nam.[1] Bánh bèo đã trở thành một nét đẹp trong văn hóa ẩm thực của người dân Việt Nam từ bao đời nay. Tên bánh bèo có thể xuất phát từ hình dạng của nó: giống như cái lá của cây bèo.",Món ăn Việt Nam,Việt Nam,Bánh,vietnam_food_extended,59,25-50k
FOOD00033,Bánh nậm,"Bánh nậm là một loại bánh và là món ẩm thực truyền thống đặc trưng của Huế với bộ ba trứ danh ""bèo, nậm, lọc"". Đây là thứ bánh được làm từ bột gạo vừa ngon vừa có tính chất lành (người già, trẻ em, người ốm đều có thể ăn được). Ở Huế, bánh nậm còn được làm chay, chỉ có nhân đậu xanh, dùng cho ngày rằm, mồng một.",Món ăn Việt Nam,Việt Nam,Bánh,vietnam_food_extended,42,100-200k
FOOD00034,Bánh ít,"Bánh ít hay bánh ích[1]  là một loại bánh phổ biến ở Việt Nam, được làm từ bột nếp và đậu xanh với phương pháp hấp cách thủy. Nhân bánh được xào chín trước khi gói cẩn thận bằng lá chuối tươi hoặc khô[2] và có thể có nhiều hình dáng khác nhau tùy theo cách gói của người làm bánh. Nhân bánh có thể là nhân mặn hoặc nhân ngọt. Bánh được sử dụng phổ biến để đồ cúng trong những ngày Giỗ, Tết[3] hay làm quà quê.",Món ăn Việt Nam,Việt Nam,Bánh,vietnam_food_extended,92,10-25k
FOOD00035,Cháo lòng,"Cháo lòng là món cháo được nấu theo phương thức nấu cháo thông thường, trong sự kết hợp với nước dùng ngọt làm từ xương lợn hay nước luộc lòng lợn, và nguyên liệu chính cho bát cháo không thể thiếu các món phủ tạng lợn luộc, dồi. Cháo lòng tương đối phổ thông thậm chí khá bình dân trong ẩm thực Việt Nam, được bán rộng rãi tại các cửa hàng lòng lợn trong cả nước, tạo nên một bộ ba sản phẩm được ăn theo thứ tự trong bữa ăn là tiết canh, lòng lợn, cháo lòng, và thường kết hợp với rượu đế.",Món ăn Việt Nam,Việt Nam,Khác,vietnam_food_extended,60,10-25k
FOOD00036,Bánh tráng,"Bánh tráng là một dạng bánh sử dụng nguyên liệu chính là tinh bột tráng mỏng phơi khô, khi ăn có thể nướng giòn (miền Bắc Việt Nam gọi là bánh đa nem, miền Trung gọi là bánh tráng nhúng, miền Nam gọi là bánh tráng [1]) hoặc nhúng qua nước để làm nem cuốn (miền Nam gọi là gỏi cuốn). Nó còn là nguyên liệu để làm một món ăn khác là nem (chả giò).",Món ăn Việt Nam,Việt Nam,Bánh,vietnam_food_extended,80,25-50k
FOOD00037,Cà ri gà,"Cà ri gà là một món ăn phổ biến ở Nam Á, Đông Nam Á, cũng như tại Caribbean (nơi món này thường được gọi là ""cà ri gà""). Món cà ri Nam Á điển hình bao gồm thịt gà hầm với củ hành tây và nước xốt cà chua, thêm hương vị với gừng, tỏi, ớt và một loạt các loại gia vị, thường gồm có bột nghệ, thì là, rau mùi, quế, bạch đậu khấu và như thế. Bên ngoài khu vực Nam Á, cà ri gà thường ướp với một hỗn hợp gia vị trước khi nấu, gọi là bột cà ri.",Món ăn Việt Nam,Việt Nam,Khác,vietnam_food_extended,15,200k+
FOOD00038,Cơm dẻo,"Cơm dẻo mang đậm hương vị truyền thống của ẩm thực Việt Nam, là sự kết hợp hoàn hảo của các gia vị.",Món ăn Việt Nam,Miền Bắc,Món cơm/xôi,Generated,62,10-25k
FOOD00039,Cá nướng lá chuối,"Cá nướng lá chuối là món ăn phổ biến tại Việt Nam, được chế biến từ các nguyên liệu tươi ngon địa phương.",Món ăn Việt Nam,Miền Trung,Khác,Generated,62,100-200k
FOOD00040,Chả tôm,"Chả tôm là đặc sản nổi tiếng trong ẩm thực Việt Nam, thường được phục vụ trong các bữa ăn gia đình.",Món ăn Việt Nam,Miền Trung,Khác,Generated,47,50-100k
FOOD00041,Bánh đúc,"Bánh đúc là một loại bánh của Việt Nam, thường được làm bằng bột gạo (tại miền Bắc và miền Trung) hoặc bột năng (miền Nam) với một số gia vị. Bánh được làm thành tấm to, khi ăn thì cắt nhỏ thành miếng tùy thích.",Món ăn Việt Nam,Việt Nam,Bánh,Wikipedia,62,50-100k
FOOD00042,Chè bưởi,"Chè bưởi là một món chè trái cây phổ biến có nguồn gốc từ vùng Tây Nam Bộ, Việt Nam, đặc biệt phổ biến ở Long Xuyên. Khác với các món chè truyền thống của Việt Nam thường sử dụng các loại đậu (đậu xanh, đậu đỏ, đậu đen,...) hoặc các loại bột (bột gạo, bột mì,...), chè bưởi được làm từ cùi bưởi, là phần màu trắng của vỏ bưởi.[1][2]",Món ăn Việt Nam,Việt Nam,Tráng miệng,Wikipedia,51,50-100k
FOOD00043,Bánh căn mini,"Bánh căn mini là món ăn phổ biến tại Việt Nam, được chế biến từ các nguyên liệu tươi ngon địa phương.",Món ăn Việt Nam,Miền Bắc,Bánh,Generated,55,200k+
FOOD00044,Bánh căn Phan Thiết,"Bánh căn Phan Thiết là đặc sản nổi tiếng trong ẩm thực Việt Nam, thường được phục vụ trong các bữa ăn gia đình.",Món ăn Việt Nam,Miền Trung,Bánh,Generated,64,25-50k
FOOD00045,Cơm sen,"Cơm sen có nguồn gốc từ ẩm thực dân gian Việt Nam, được truyền từ đời này sang đời khác.",Món ăn Việt Nam,Miền Nam,Món cơm/xôi,Generated,3,100-200k
FOOD00046,Phở tái,"Phở tái là món ăn phổ biến tại Việt Nam, được chế biến từ các nguyên liệu tươi ngon địa phương.",Món ăn Việt Nam,Việt Nam,Món nước,Generated,51,200k+
FOOD00047,Xôi lá cẩm,Xôi lá cẩm món xôi ăn dân dã của người Việt Nam và Thái Lan được nấu với nguyên liệu chính là lá cẩm. Lá cẩm tạo ra màu tím tự nhiên nên thường được dùng tạo màu cho các món ăn. Xôi lá cẩm thường được các bà nội trợ nấu cho gia đình vì hương vị ngon và nhìn bắt mắt của nó.[1],Món ăn Việt Nam,Việt Nam,Món cơm/xôi,Wikipedia,7,100-200k
FOOD00048,Nộm đu đủ,"Nộm đu đủ mang đậm hương vị truyền thống của ẩm thực Việt Nam, là sự kết hợp hoàn hảo của các gia vị.",Món ăn Việt Nam,Việt Nam,Gỏi/Nộm,Generated,21,100-200k
FOOD00049,Bánh pía,"Bánh pía (tiếng Trung: 朥饼; Bạch thoại tự: lâ-piáⁿ) là món bánh ngọt ngàn lớp có nhân và là bánh trung thu truyền thống xuất phát từ Triều Châu, Trung Quốc và được du nhập vào các khu phố người Hoa trên thế giới. Đặc biệt ở Đông Nam Á, nơi có Hoa Kiều cư ngụ là Việt Nam, Malaysia, Indonesia, Philippines và Singapore. Ở Indonesia, bánh có tên gọi là
Bakpia Pathok.",Món ăn Việt Nam,Việt Nam,Bánh,Wikipedia,73,25-50k
FOOD00050,Cơm niêu,"Cơm niêu là đặc sản nổi tiếng trong ẩm thực Việt Nam, thường được phục vụ trong các bữa ăn gia đình.",Món ăn Việt Nam,Việt Nam,Món cơm/xôi,Generated,39,50-100k
FOOD00051,Bánh căn nướng,"Bánh căn nướng mang đậm hương vị truyền thống của ẩm thực Việt Nam, là sự kết hợp hoàn hảo của các gia vị.",Món ăn Việt Nam,Miền Trung,Bánh,Generated,18,25-50k
FOOD00052,Mắm ruốc,"Mắm ruốc là một dạng mắm làm từ ruốc (một loài tôm nhỏ thuộc chi Acetes thuộc họ Sergestidae, bộ Decapoda). Tuy nhiên, màu sắc và mùi vị của mắm ruốc không giống với mắm tôm. Mắm ruốc không tanh bằng mắm tôm, có thể pha thêm nước khi làm nước chấm và có thể dùng làm gia vị khi nấu canh rau tại các nước Đông Nam Á và miền nam Trung Quốc. Ấn Độ và Nhật Bản cũng có loại ""mắm ruốc"" gọi là ""jawla"" (tiế...",Món ăn Việt Nam,Việt Nam,Khác,Wikipedia,4,200k+
FOOD00053,Bún cá,"Bún cá có nguồn gốc từ ẩm thực dân gian Việt Nam, được truyền từ đời này sang đời khác.",Món ăn Việt Nam,Miền Nam,Món nước,Generated,89,200k+
FOOD00054,Bánh trôi - bánh chay,"Bánh trôi - bánh chay là hai loại bánh cổ truyền tại miền Bắc Việt Nam. Hai loại bánh này thường đi liền với nhau, phổ biến nhất trong dịp Tết Hàn Thực vào mùng 3 tháng 3 âm lịch hàng năm, còn gọi là ""ngày bánh trôi bánh chay"".[1] Riêng tại Xứ Đoài, người dân làm lễ rước bánh trôi dâng Hai Bà Trưng tại đền Hát Môn vào ngày mồng 6 tháng ba.[2]",Món ăn Việt Nam,Việt Nam,Bánh,Wikipedia,60,200k+
FOOD00055,Mì tôm cua,"Mì tôm cua là một món ăn truyền thống của Việt Nam, được yêu thích bởi hương vị đặc trưng và cách chế biến độc đáo.",Món ăn Việt Nam,Việt Nam,Món nước,Generated,14,25-50k
FOOD00056,Cháo cá,"Cháo cá là món ăn phổ biến tại Việt Nam, được chế biến từ các nguyên liệu tươi ngon địa phương.",Món ăn Việt Nam,Miền Nam,Khác,Generated,9,100-200k
FOOD00057,Gỏi tôm,"Gỏi tôm là đặc sản nổi tiếng trong ẩm thực Việt Nam, thường được phục vụ trong các bữa ăn gia đình.",Món ăn Việt Nam,Miền Trung,Gỏi/Nộm,Generated,90,100-200k
FOOD00058,Bánh đậu xanh,"Bánh đậu xanh là một loại bánh ngọt làm từ bột đậu xanh quết nhuyễn với đường và dầu thực vật hay mỡ động vật, thường là mỡ lợn. Bánh được cắt thành từng khối vuông nhỏ, gói giấy bạc thành hộp nhỏ, lớn hay gói giấy thấm mỡ thành từng thỏi vàng. Bánh thường được dùng khi uống trà tàu hay chè xanh, khi đó sẽ tạo cảm giác thư thái. Địa phương làm bánh đậu xanh nổi tiếng ở Hải Dương (giờ thuộc Hải Phò...",Món ăn Việt Nam,Việt Nam,Bánh,Wikipedia,53,10-25k
FOOD00059,Chả bông,"Chả bông có nguồn gốc từ ẩm thực dân gian Việt Nam, được truyền từ đời này sang đời khác.",Món ăn Việt Nam,Miền Nam,Khác,Generated,2,200k+
FOOD00060,Gỏi bò bóp thấu,"Gỏi bò bóp thấu là một món ăn truyền thống của Việt Nam, được yêu thích bởi hương vị đặc trưng và cách chế biến độc đáo.",Món ăn Việt Nam,Miền Bắc,Gỏi/Nộm,Generated,84,100-200k
FOOD00061,Lẩu riêu cua,"Lẩu riêu cua có nguồn gốc từ ẩm thực dân gian Việt Nam, được truyền từ đời này sang đời khác.",Món ăn Việt Nam,Việt Nam,Lẩu,Generated,92,10-25k
FOOD00062,Lẩu gà lá é,"Lẩu gà lá é mang đậm hương vị truyền thống của ẩm thực Việt Nam, là sự kết hợp hoàn hảo của các gia vị.",Món ăn Việt Nam,Miền Trung,Lẩu,Generated,60,100-200k
