text,intent,region
Bún chả Hà Nội ở Sài Gòn,tim_mon_an,sai_gon
Bún đậu mắm tôm Sài Gòn,tim_mon_an,sai_gon
Bún mọc Sài Gòn quán nào,tim_mon_an,sai_gon
Bún ốc Sài Gòn ngon,tim_mon_an,sai_gon
Bún cá Sài Gòn ở đâu,tim_mon_an,sai_gon
Bún măng vịt Sài Gòn,tim_mon_an,sai_gon

# Món ăn Sài Gòn - Phở
Phở bò Sài Gòn ngon,tim_mon_an,sai_gon
Phở gà Sài Gòn quán nào,tim_mon_an,sai_gon
Phở Hòa Pasteur ở đâu,tim_mon_an,sai_gon
Phở Lệ quán nào ngon,tim_mon_an,sai_gon
Phở tái lăn Sài Gòn,tim_mon_an,sai_gon
Phở bò viên Sài Gòn,tim_mon_an,sai_gon
Phở gà Tân Bình,tim_mon_an,sai_gon
Quán phở ngon Sài Gòn,tim_mon_an,sai_gon
Phở Hùng quán nào,tim_mon_an,sai_gon
Phở Quỳnh Sài Gòn,tim_mon_an,sai_gon

# Món ăn Sài Gòn - Gỏi cuốn
Gỏi cuốn Sài Gòn,tim_mon_an,sai_gon
Gỏi cuốn tôm thịt ngon,tim_mon_an,sai_gon
Gỏi cuốn chả giò Sài Gòn,tim_mon_an,sai_gon
Gỏi cuốn bò nướng,tim_mon_an,sai_gon
Gỏi cuốn hải sản Sài Gòn,tim_mon_an,sai_gon
Quán gỏi cuốn ngon Sài Gòn,tim_mon_an,sai_gon
Gỏi cuốn rau sống Sài Gòn,tim_mon_an,sai_gon
Gỏi cuốn chay Sài Gòn,tim_mon_an,sai_gon
Gỏi cuốn tôm nướng,tim_mon_an,sai_gon
Gỏi cuốn thịt nướng Sài Gòn,tim_mon_an,sai_gon

# Món ăn Sài Gòn - Bánh xèo
Bánh xèo Sài Gòn ở đâu,tim_mon_an,sai_gon
Bánh xèo miền Tây Sài Gòn,tim_mon_an,sai_gon
Bánh xèo tôm thịt ngon,tim_mon_an,sai_gon
Bánh xèo giòn Sài Gòn,tim_mon_an,sai_gon
Quán bánh xèo ngon Sài Gòn,tim_mon_an,sai_gon
Bánh xèo Mười Xiềng,tim_mon_an,sai_gon
Bánh xèo Bà Dưỡng ở đâu,tim_mon_an,sai_gon
Bánh xèo chay Sài Gòn,tim_mon_an,sai_gon
Bánh xèo hải sản Sài Gòn,tim_mon_an,sai_gon
Bánh xèo bò nướng,tim_mon_an,sai_gon

# Món ăn Sài Gòn - Lẩu
Lẩu Thái Sài Gòn ngon,tim_mon_an,sai_gon
Lẩu bò Sài Gòn quán nào,tim_mon_an,sai_gon
Lẩu hải sản Sài Gòn,tim_mon_an,sai_gon
Lẩu nấm Sài Gòn ở đâu,tim_mon_an,sai_gon
Lẩu cá Sài Gòn ngon,tim_mon_an,sai_gon
Lẩu gà lá é Sài Gòn,tim_mon_an,sai_gon
Lẩu riêu cua Sài Gòn,tim_mon_an,sai_gon
Quán lẩu ngon Sài Gòn,tim_mon_an,sai_gon
Lẩu Phan ở đâu,tim_mon_an,sai_gon
Lẩu bò nhúng dấm Sài Gòn,tim_mon_an,sai_gon

# Món ăn Sài Gòn - Bánh canh
Bánh canh cua Sài Gòn,tim_mon_an,sai_gon
Bánh canh chả cá ngon,tim_mon_an,sai_gon
Bánh canh giò heo Sài Gòn,tim_mon_an,sai_gon
Bánh canh Trảng Bàng,tim_mon_an,sai_gon
Quán bánh canh ngon Sài Gòn,tim_mon_an,sai_gon
Bánh canh bột lọc Sài Gòn,tim_mon_an,sai_gon
Bánh canh hải sản,tim_mon_an,sai_gon
Bánh canh tôm cua Sài Gòn,tim_mon_an,sai_gon
Bánh canh gà Sài Gòn,tim_mon_an,sai_gon
Bánh canh bò viên,tim_mon_an,sai_gon

# Món ăn Sài Gòn - Cháo
Cháo lòng Sài Gòn ngon,tim_mon_an,sai_gon
Cháo vịt Sài Gòn quán nào,tim_mon_an,sai_gon
Cháo cá Sài Gòn ở đâu,tim_mon_an,sai_gon
Cháo gà Sài Gòn ngon,tim_mon_an,sai_gon
Cháo hải sản Sài Gòn,tim_mon_an,sai_gon
Quán cháo ngon Sài Gòn,tim_mon_an,sai_gon
Cháo sườn Sài Gòn,tim_mon_an,sai_gon
Cháo bò Sài Gòn quán nào,tim_mon_an,sai_gon
Cháo trai Sài Gòn,tim_mon_an,sai_gon
Cháo ếch Singapore Sài Gòn,tim_mon_an,sai_gon

# Món ăn Sài Gòn - Mì
Mì Quảng Sài Gòn ngon,tim_mon_an,sai_gon
Mì vịt tiềm Sài Gòn,tim_mon_an,sai_gon
Mì hoành thánh Sài Gòn,tim_mon_an,sai_gon
Mì xào giòn Sài Gòn,tim_mon_an,sai_gon
Mì gà tần Sài Gòn,tim_mon_an,sai_gon
Quán mì ngon Sài Gòn,tim_mon_an,sai_gon
Mì Ý Sài Gòn ở đâu,tim_mon_an,sai_gon
Mì cay Sài Gòn quán nào,tim_mon_an,sai_gon
Mì hải sản Sài Gòn,tim_mon_an,sai_gon
Mì trộn Sài Gòn ngon,tim_mon_an,sai_gon

# Món ăn Sài Gòn - Chè
Chè Sài Gòn ngon,tim_mon_an,sai_gon
Chè thập cẩm Sài Gòn,tim_mon_an,sai_gon
Chè bưởi Sài Gòn quán nào,tim_mon_an,sai_gon
Chè khúc bạch Sài Gòn,tim_mon_an,sai_gon
Chè đậu đỏ Sài Gòn,tim_mon_an,sai_gon
Quán chè ngon Sài Gòn,tim_mon_an,sai_gon
Chè sương sa hạt lựu,tim_mon_an,sai_gon
Chè ba màu Sài Gòn,tim_mon_an,sai_gon
Chè bà ba Sài Gòn,tim_mon_an,sai_gon
Chè Thái Sài Gòn ở đâu,tim_mon_an,sai_gon

# Món ăn Sài Gòn - Ốc
Ốc Sài Gòn quán nào ngon,tim_mon_an,sai_gon
Ốc hấp sả Sài Gòn,tim_mon_an,sai_gon
Ốc xào dừa Sài Gòn,tim_mon_an,sai_gon
Ốc nhồi thịt Sài Gòn,tim_mon_an,sai_gon
Ốc len xào Sài Gòn,tim_mon_an,sai_gon
Quán ốc ngon Sài Gòn,tim_mon_an,sai_gon
Ốc móng tay Sài Gòn,tim_mon_an,sai_gon
Ốc hương Sài Gòn ở đâu,tim_mon_an,sai_gon
Ốc bươu nướng tiêu,tim_mon_an,sai_gon
Ốc gạo Sài Gòn ngon,tim_mon_an,sai_gon

# Món ăn Sài Gòn - Nướng
Thịt nướng Sài Gòn ngon,tim_mon_an,sai_gon
Sườn nướng Sài Gòn quán nào,tim_mon_an,sai_gon
Bò nướng lá lốt Sài Gòn,tim_mon_an,sai_gon
Gà nướng Sài Gòn ở đâu,tim_mon_an,sai_gon
Hải sản nướng Sài Gòn,tim_mon_an,sai_gon
Quán nướng ngon Sài Gòn,tim_mon_an,sai_gon
Cá nướng Sài Gòn,tim_mon_an,sai_gon
Mực nướng Sài Gòn quán nào,tim_mon_an,sai_gon
Tôm nướng Sài Gòn,tim_mon_an,sai_gon
Sườn nướng BBQ Sài Gòn,tim_mon_an,sai_gon

# Món ăn Sài Gòn - Khác
Xôi Sài Gòn ngon,tim_mon_an,sai_gon
Bánh cuốn Sài Gòn quán nào,tim_mon_an,sai_gon
Bánh bột lọc Sài Gòn,tim_mon_an,sai_gon
Bánh bèo Sài Gòn ở đâu,tim_mon_an,sai_gon
Bánh ít trần Sài Gòn,tim_mon_an,sai_gon
Nem nướng Sài Gòn ngon,tim_mon_an,sai_gon
Chả giò Sài Gòn quán nào,tim_mon_an,sai_gon
Bánh khọt Sài Gòn,tim_mon_an,sai_gon
Bánh tráng trộn Sài Gòn,tim_mon_an,sai_gon
Bánh flan Sài Gòn ngon,tim_mon_an,sai_gon

# Địa điểm Sài Gòn - Chợ
Chợ Bến Thành mua gì,tim_dia_diem,sai_gon
Chợ Bình Tây có gì,tim_dia_diem,sai_gon
Chợ An Đông Sài Gòn,tim_dia_diem,sai_gon
Chợ Tân Định ở đâu,tim_dia_diem,sai_gon
Chợ Cũ Sài Gòn,tim_dia_diem,sai_gon
Chợ Hoa Hồ Thị Kỷ,tim_dia_diem,sai_gon
Chợ Lớn Sài Gòn,tim_dia_diem,sai_gon
Chợ Thủ Đức ở đâu,tim_dia_diem,sai_gon
Chợ Gò Vấp Sài Gòn,tim_dia_diem,sai_gon
Chợ đêm Sài Gòn quận nào,tim_dia_diem,sai_gon

# Địa điểm Sài Gòn - Nhà thờ
Nhà thờ Đức Bà đẹp không,tim_dia_diem,sai_gon
Nhà thờ Tân Định Sài Gòn,tim_dia_diem,sai_gon
Nhà thờ Cha Tam ở đâu,tim_dia_diem,sai_gon
Nhà thờ Huyện Sỹ Sài Gòn,tim_dia_diem,sai_gon
Nhà thờ Thủ Thiêm,tim_dia_diem,sai_gon
Nhà thờ Chợ Quán Sài Gòn,tim_dia_diem,sai_gon
Nhà thờ Bùi Chu ở đâu,tim_dia_diem,sai_gon
Nhà thờ Hòn Đất Sài Gòn,tim_dia_diem,sai_gon
Nhà thờ Phú Nhuận,tim_dia_diem,sai_gon
Nhà thờ Thánh Thất Cao Đài,tim_dia_diem,sai_gon

# Địa điểm Sài Gòn - Bảo tàng
Bảo tàng Chứng tích chiến tranh,tim_dia_diem,sai_gon
Bảo tàng Lịch sử Việt Nam,tim_dia_diem,sai_gon
Bảo tàng Mỹ thuật Sài Gòn,tim_dia_diem,sai_gon
Bảo tàng Áo dài ở đâu,tim_dia_diem,sai_gon
Bảo tàng Hồ Chí Minh,tim_dia_diem,sai_gon
Bảo tàng Thành phố Sài Gòn,tim_dia_diem,sai_gon
Bảo tàng Tôn Đức Thắng,tim_dia_diem,sai_gon
Bảo tàng Phụ nữ Nam Bộ,tim_dia_diem,sai_gon
Bảo tàng Lịch sử quân sự,tim_dia_diem,sai_gon
Bảo tàng Văn hóa các dân tộc,tim_dia_diem,sai_gon

# Địa điểm Sài Gòn - Công viên
Công viên Tao Đàn,tim_dia_diem,sai_gon
Công viên Gia Định Sài Gòn,tim_dia_diem,sai_gon
Công viên 23/9 ở đâu,tim_dia_diem,sai_gon
Công viên Lê Văn Tám,tim_dia_diem,sai_gon
Công viên Hoàng Văn Thụ,tim_dia_diem,sai_gon
Công viên Văn hóa Đầm Sen,tim_dia_diem,sai_gon
Công viên Thảo Cầm Viên,tim_dia_diem,sai_gon
Công viên Phú Lâm ở đâu,tim_dia_diem,sai_gon
Công viên Ấn Tượng Hội An,tim_dia_diem,sai_gon
Công viên Vinhomes Central Park,tim_dia_diem,sai_gon

# Địa điểm Sài Gòn - Phố đi bộ
Phố đi bộ Nguyễn Huệ,tim_dia_diem,sai_gon
Phố đi bộ Bùi Viện Sài Gòn,tim_dia_diem,sai_gon
Phố sách Nguyễn Văn Bình,tim_dia_diem,sai_gon
Phố ẩm thực Nguyễn Trãi,tim_dia_diem,sai_gon
Phố Tây Bùi Viện ở đâu,tim_dia_diem,sai_gon
Phố đi bộ Thủ Đức,tim_dia_diem,sai_gon
Phố ẩm thực Vĩnh Khánh,tim_dia_diem,sai_gon
Phố Nhật Lê Thánh Tôn,tim_dia_diem,sai_gon
Phố Hàn Quốc Sài Gòn,tim_dia_diem,sai_gon
Phố cổ Sài Gòn ở đâu,tim_dia_diem,sai_gon

# Địa điểm Sài Gòn - Khu vui chơi
Suối Tiên Sài Gòn vui không,tim_dia_diem,sai_gon
Đầm Sen Sài Gòn ở đâu,tim_dia_diem,sai_gon
Thảo Cầm Viên Sài Gòn,tim_dia_diem,sai_gon
Công viên nước Đầm Sen,tim_dia_diem,sai_gon
Khu du lịch Bình Quới,tim_dia_diem,sai_gon
Khu du lịch Cần Giờ,tim_dia_diem,sai_gon
Landmark 81 Sài Gòn,tim_dia_diem,sai_gon
Bitexco Financial Tower,tim_dia_diem,sai_gon
Saigon Zoo ở đâu,tim_dia_diem,sai_gon
Khu vui chơi Giga Mall,tim_dia_diem,sai_gon

# Địa điểm Sài Gòn - Lịch sử
Dinh Độc Lập tham quan,tim_dia_diem,sai_gon
Địa đạo Củ Chi tham quan,tim_dia_diem,sai_gon
Bưu điện Sài Gòn cổ kính,tim_dia_diem,sai_gon
Nhà hát Thành phố Sài Gòn,tim_dia_diem,sai_gon
Dinh Thống Nhất ở đâu,tim_dia_diem,sai_gon
Hội trường Thống Nhất,tim_dia_diem,sai_gon
Bến Nhà Rồng Sài Gòn,tim_dia_diem,sai_gon
Căn cứ Củ Chi ở đâu,tim_dia_diem,sai_gon
Lăng Ông Bổn Sài Gòn,tim_dia_diem,sai_gon
Chùa Vĩnh Nghiêm Sài Gòn,tim_dia_diem,sai_gon

# Địa điểm Sài Gòn - Chùa
Chùa Vĩnh Nghiêm Sài Gòn,tim_dia_diem,sai_gon
Chùa Giác Lâm ở đâu,tim_dia_diem,sai_gon
Chùa Xá Lợi Sài Gòn,tim_dia_diem,sai_gon
Chùa Bà Thiên Hậu,tim_dia_diem,sai_gon
Chùa Ông Bổn Sài Gòn,tim_dia_diem,sai_gon
Chùa Phước Hải ở đâu,tim_dia_diem,sai_gon
Chùa Pháp Hoa Sài Gòn,tim_dia_diem,sai_gon
Chùa Ngọc Hoàng,tim_dia_diem,sai_gon
Chùa Quan Âm Sài Gòn,tim_dia_diem,sai_gon
Chùa Bửu Long ở đâu,tim_dia_diem,sai_gon

# Địa điểm Sài Gòn - Sông nước
Sông Sài Gòn du thuyền,tim_dia_diem,sai_gon
Bến Bạch Đằng Sài Gòn,tim_dia_diem,sai_gon
Kênh Nhiêu Lộc ở đâu,tim_dia_diem,sai_gon
Rạch Bến Nghé Sài Gòn,tim_dia_diem,sai_gon
Cầu Ánh Sao Sài Gòn,tim_dia_diem,sai_gon
Cầu Thủ Thiêm ở đâu,tim_dia_diem,sai_gon
Cầu Phú Mỹ Sài Gòn,tim_dia_diem,sai_gon
Bến Ninh Kiều Sài Gòn,tim_dia_diem,sai_gon
Cảng Nhà Rồng ở đâu,tim_dia_diem,sai_gon
Sông Vàm Cỏ Đông,tim_dia_diem,sai_gon

# Địa điểm Sài Gòn - Khác
Sài Gòn có địa điểm nào đẹp,tim_dia_diem,sai_gon
Sài Gòn đi đâu chơi,tim_dia_diem,sai_gon
Sài Gòn tham quan gì,tim_dia_diem,sai_gon
Sài Gòn có gì vui,tim_dia_diem,sai_gon
Sài Gòn check in đâu đẹp,tim_dia_diem,sai_gon
Sài Gòn chụp ảnh ở đâu,tim_dia_diem,sai_gon
Sài Gòn hẹn hò đâu,tim_dia_diem,sai_gon
Sài Gòn đi chơi cuối tuần,tim_dia_diem,sai_gon
Sài Gòn du lịch 1 ngày,tim_dia_diem,sai_gon
Sài Gòn về đêm đi đâu,tim_dia_diem,sai_gon

# Thời tiết Sài Gòn
Hôm nay Sài Gòn có mưa không,hoi_thoi_tiet,sai_gon
Hôm nay Sài Gòn thời tiết thế nào,hoi_thoi_tiet,sai_gon
Sài Gòn có mưa không,hoi_thoi_tiet,sai_gon
Sài Gòn nóng quá,hoi_thoi_tiet,sai_gon
Sài Gòn nắng không,hoi_thoi_tiet,sai_gon
Sài Gòn mưa to không,hoi_thoi_tiet,sai_gon
Sài Gòn nhiệt độ bao nhiêu,hoi_thoi_tiet,sai_gon
Sài Gòn trời mát không,hoi_thoi_tiet,sai_gon
Sài Gòn có nắng không,hoi_thoi_tiet,sai_gon
Sài Gòn thời tiết hôm nay,hoi_thoi_tiet,sai_gon
Sài Gòn có bão không,hoi_thoi_tiet,sai_gon
Sài Gòn mưa dông không,hoi_thoi_tiet,sai_gon
Sài Gòn oi bức không,hoi_thoi_tiet,sai_gon
Sài Gòn có lạnh không,hoi_thoi_tiet,sai_gon
Sài Gòn thời tiết tuần này,hoi_thoi_tiet,sai_gon

# Hỏi địa điểm ăn món (intent vẫn là tìm món ăn)
Địa điểm ăn bánh mì Sài Gòn,tim_mon_an,sai_gon
Địa điểm ăn cơm tấm Sài Gòn,tim_mon_an,sai_gon
Địa điểm ăn phở Sài Gòn,tim_mon_an,sai_gon
Địa điểm ăn bánh xèo Sài Gòn,tim_mon_an,sai_gon
Địa điểm ăn hủ tiếu Sài Gòn,tim_mon_an,sai_gon
Địa điểm ăn bún thịt nướng,tim_mon_an,sai_gon
Địa điểm ăn bánh canh,tim_mon_an,sai_gon
Quán bánh mì ngon Sài Gòn,tim_mon_an,sai_gon
Quán cơm tấm ngon Sài Gòn,tim_mon_an,sai_gon
Quán phở ngon Sài Gòn,tim_mon_an,sai_gon
Quán hủ tiếu ngon Sài Gòn,tim_mon_an,sai_gon
Quán bánh xèo ngon Sài Gòn,tim_mon_an,sai_gon
Ăn bánh mì ở đâu Sài Gòn,tim_mon_an,sai_gon
Ăn cơm tấm ở đâu Sài Gòn,tim_mon_an,sai_gon
Ăn phở ở đâu Sài Gòn,tim_mon_an,sai_gon
Ăn hủ tiếu ở đâu Sài Gòn,tim_mon_an,sai_gon
Ăn bánh canh ở đâu Sài Gòn,tim_mon_an,sai_gon

# Updated
